COD_SEC,GR_SETOR,Seção,COD_DIV,Divisão,COD_GRUPO,Grupo,COD_CLASSE,Classe,COD_SUBC,COD_SUBCsp,Subclasse,Rotas,Rotas_Portal,SC Competitiva
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/01,111301,Cultivo de arroz,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/02,111302,Cultivo de milho,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/03,111303,Cultivo de trigo,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.11-3,Cultivo de cereais,0111-3/99,111399,Cultivo de outros cereais não especificados anteriormente,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/01,112101,Cultivo de algodão herbáceo,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/02,112102,Cultivo de juta,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/99,112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.13-0,Cultivo de cana-de-açúcar,0113-0/00,113000,Cultivo de cana-de-açúcar,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.14-8,Cultivo de fumo,0114-8/00,114800,Cultivo de fumo,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.15-6,Cultivo de soja,0115-6/00,115600,Cultivo de soja,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/01,116401,Cultivo de amendoim,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/02,116402,Cultivo de girassol,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/03,116403,Cultivo de mamona,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
A,AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.01,Produção de lavouras temporárias,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/99,116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,AGROPECUÁRIA,AGROPECUÁRIA,Agropecuária
